Partei,Datum,Uhrzeit,Slideshow,Slide,Likes,Kommentare,Dateiname,Farbanteil
afd.bund,2018-09-19,10-15-17,0,1,1471,326,2018-09-19_10-15-17_UTC.jpg,0.4128
afd.bund,2018-09-20,09-47-23,0,1,1508,188,2018-09-20_09-47-23_UTC.jpg,0.3233
afd.bund,2018-09-21,12-27-07,0,1,1602,104,2018-09-21_12-27-07_UTC.jpg,0.4325
afd.bund,2020-01-07,08-27-51,0,1,2511,0,2020-01-07_08-27-51_UTC.jpg,0.2824
afd.bund,2020-01-07,13-26-21,0,1,1985,0,2020-01-07_13-26-21_UTC.jpg,0.3164
afd.bund,2020-01-07,19-57-37,0,1,3106,0,2020-01-07_19-57-37_UTC.jpg,0.2302
afd.bund,2020-01-08,08-04-47,0,1,3172,0,2020-01-08_08-04-47_UTC.jpg,0.3399
afd.bund,2020-01-08,13-34-29,0,1,2524,0,2020-01-08_13-34-29_UTC.jpg,0.3225
afd.bund,2020-01-09,07-54-41,0,1,2485,0,2020-01-09_07-54-41_UTC.jpg,0.426
afd.bund,2020-01-09,08-10-45,0,1,2341,0,2020-01-09_08-10-45_UTC.jpg,0.3465
afd.bund,2020-01-09,15-59-58,0,1,2494,0,2020-01-09_15-59-58_UTC.jpg,0.3278
afd.bund,2020-01-09,18-14-48,0,1,2048,0,2020-01-09_18-14-48_UTC.jpg,0.3695
afd.bund,2020-01-10,08-44-28,0,1,3301,0,2020-01-10_08-44-28_UTC.jpg,0.4327
afd.bund,2020-01-10,13-17-28,0,1,4327,0,2020-01-10_13-17-28_UTC.jpg,0.2646
afd.bund,2020-01-10,23-25-42,0,1,2012,0,2020-01-10_23-25-42_UTC.jpg,0.241
afd.bund,2020-01-11,12-44-42,0,1,1951,0,2020-01-11_12-44-42_UTC.jpg,0.4648
afd.bund,2020-01-12,13-13-07,0,1,2635,0,2020-01-12_13-13-07_UTC.jpg,0.3572
afd.bund,2020-01-12,13-14-10,0,1,2067,0,2020-01-12_13-14-10_UTC.jpg,0.1942
