Partei,Monat,durchschnittlicher Farbanteil
afd.bund,2014-02,0.0
afd.bund,2014-03,0.0
afd.bund,2014-04,0.0
afd.bund,2014-05,0.0
afd.bund,2014-06,0.0
afd.bund,2014-07,0.0
afd.bund,2014-08,0.0
afd.bund,2014-09,0.0
afd.bund,2014-10,0.0
afd.bund,2014-11,0.0
afd.bund,2014-12,0.0
afd.bund,2015-01,0.0
afd.bund,2015-02,0.0
afd.bund,2015-03,0.0
afd.bund,2015-04,0.0
afd.bund,2015-05,0.0
afd.bund,2015-06,0.0
afd.bund,2015-07,0.0
afd.bund,2015-08,0.0
afd.bund,2015-09,0.0
afd.bund,2015-10,0.0
afd.bund,2015-11,0.0
afd.bund,2015-12,0.0
afd.bund,2016-01,0.0
afd.bund,2016-02,0.0
afd.bund,2016-03,0.0
afd.bund,2016-04,0.0
afd.bund,2016-05,0.0
afd.bund,2016-06,0.0
afd.bund,2016-07,0.0
afd.bund,2016-08,0.0
afd.bund,2016-09,0.0
afd.bund,2016-10,0.0
afd.bund,2016-11,0.0
afd.bund,2016-12,0.0
afd.bund,2017-01,0.0
afd.bund,2017-02,0.0
afd.bund,2017-03,0.0
afd.bund,2017-04,0.0
afd.bund,2017-05,0.0
afd.bund,2017-06,0.0
afd.bund,2017-07,0.0
afd.bund,2017-08,0.0
afd.bund,2017-09,0.0
afd.bund,2017-10,0.0
afd.bund,2017-11,0.0
afd.bund,2017-12,0.0
afd.bund,2018-01,0.0
afd.bund,2018-02,0.0
afd.bund,2018-03,0.0
afd.bund,2018-04,0.0
afd.bund,2018-05,0.0
afd.bund,2018-06,0.0
afd.bund,2018-07,0.0
afd.bund,2018-08,0.0
afd.bund,2018-09,0.3895
afd.bund,2018-10,0.0
afd.bund,2018-11,0.0
afd.bund,2018-12,0.0
afd.bund,2019-01,0.0
afd.bund,2019-02,0.0
afd.bund,2019-03,0.0
afd.bund,2019-04,0.0
afd.bund,2019-05,0.0
afd.bund,2019-06,0.0
afd.bund,2019-07,0.0
afd.bund,2019-08,0.0
afd.bund,2019-09,0.0
afd.bund,2019-10,0.0
afd.bund,2019-11,0.0
afd.bund,2019-12,0.0
afd.bund,2020-01,0.3555
afd.bund,2020-02,0.3194
afd.bund,2020-03,0.3511
afd.bund,2020-04,0.376
afd.bund,2020-05,0.3214
afd.bund,2020-06,0.3652
afd.bund,2020-07,0.4672
afd.bund,2020-08,0.3514
afd.bund,2020-09,0.4331
afd.bund,2020-10,0.3863
afd.bund,2020-11,0.4836
afd.bund,2020-12,0.3964
afd.bund,2021-01,0.3916
afd.bund,2021-02,0.4626
afd.bund,2021-03,0.4104
afd.bund,2021-04,0.235
afd.bund,2021-05,0.118
afd.bund,2021-06,0.0906
afd.bund,2021-07,0.1049
afd.bund,2021-08,0.0877
afd.bund,2021-09,0.1206
afd.bund,2021-10,0.1328
afd.bund,2021-11,0.0599
afd.bund,2021-12,0.0852
afd.bund,2022-01,0.0955
afd.bund,2022-02,0.1827
afd.bund,2022-03,0.0927
afd.bund,2022-04,0.1256
afd.bund,2022-05,0.1008
afd.bund,2022-06,0.1016
afd.bund,2022-07,0.1742
afd.bund,2022-08,0.2483
afd.bund,2022-09,0.1429
afd.bund,2022-10,0.0879
afd.bund,2022-11,0.1197
afd.bund,2022-12,0.0826
afd.bund,2023-01,0.0929
afd.bund,2023-02,0.2033
afd.bund,2023-03,0.1664
afd.bund,2023-04,0.1582
afd.bund,2023-05,0.2474
afd.bund,2023-06,0.1366
afd.bund,2023-07,0.2399
afd.bund,2023-08,0.3666
afd.bund,2023-09,0.1929
afd.bund,2023-10,0.2659
afd.bund,2023-11,0.1972
afd.bund,2023-12,0.2305
afd.bund,2024-01,0.2701
afd.bund,2024-02,0.3124
afd.bund,2024-03,0.1722
afd.bund,2024-04,0.3101
afd.bund,2024-05,0.2957
afd.bund,2024-06,0.2074
afd.bund,2024-07,0.3787
afd.bund,2024-08,0.3924
afd.bund,2024-09,0.3624
afd.bund,2024-10,0.3309
afd.bund,2024-11,0.4034
afd.bund,2024-12,0.4212
cdu,2014-02,0.0
cdu,2014-03,0.0
cdu,2014-04,0.0
cdu,2014-05,0.0
cdu,2014-06,0.0
cdu,2014-07,0.0
cdu,2014-08,0.0
cdu,2014-09,0.0
cdu,2014-10,0.0
cdu,2014-11,0.0
cdu,2014-12,0.0
cdu,2015-01,0.0
cdu,2015-02,0.0
cdu,2015-03,0.0
cdu,2015-04,0.0
cdu,2015-05,0.0
cdu,2015-06,0.1174
cdu,2015-07,0.0236
cdu,2015-08,0.0
cdu,2015-09,0.0041
cdu,2015-10,0.0146
cdu,2015-11,0.0064
cdu,2015-12,0.126
cdu,2016-01,0.0006
cdu,2016-02,0.0033
cdu,2016-03,0.0025
cdu,2016-04,0.0016
cdu,2016-05,0.014
cdu,2016-06,0.011
cdu,2016-07,0.0
cdu,2016-08,0.0011
cdu,2016-09,0.0
cdu,2016-10,0.0
cdu,2016-11,0.0
cdu,2016-12,0.004
cdu,2017-01,0.0144
cdu,2017-02,0.0164
cdu,2017-03,0.0907
cdu,2017-04,0.0182
cdu,2017-05,0.0144
cdu,2017-06,0.0417
cdu,2017-07,0.0862
cdu,2017-08,0.0393
cdu,2017-09,0.0133
cdu,2017-10,0.0282
cdu,2017-11,0.0
cdu,2017-12,0.0074
cdu,2018-01,0.0776
cdu,2018-02,0.1377
cdu,2018-03,0.0275
cdu,2018-04,0.0564
cdu,2018-05,0.0655
cdu,2018-06,0.0815
cdu,2018-07,0.0
cdu,2018-08,0.1935
cdu,2018-09,0.1439
cdu,2018-10,0.0379
cdu,2018-11,0.0065
cdu,2018-12,0.0327
cdu,2019-01,0.0046
cdu,2019-02,0.0073
cdu,2019-03,0.0342
cdu,2019-04,0.0447
cdu,2019-05,0.0322
cdu,2019-06,0.0573
cdu,2019-07,0.0132
cdu,2019-08,0.0417
cdu,2019-09,0.0682
cdu,2019-10,0.0231
cdu,2019-11,0.048
cdu,2019-12,0.014
cdu,2020-01,0.0088
cdu,2020-02,0.0061
cdu,2020-03,0.311
cdu,2020-04,0.27
cdu,2020-05,0.1166
cdu,2020-06,0.0964
cdu,2020-07,0.0714
cdu,2020-08,0.0787
cdu,2020-09,0.1146
cdu,2020-10,0.1288
cdu,2020-11,0.0924
cdu,2020-12,0.0465
cdu,2021-01,0.0244
cdu,2021-02,0.0593
cdu,2021-03,0.057
cdu,2021-04,0.0501
cdu,2021-05,0.0448
cdu,2021-06,0.0931
cdu,2021-07,0.0815
cdu,2021-08,0.0374
cdu,2021-09,0.0244
cdu,2021-10,0.0147
cdu,2021-11,0.0508
cdu,2021-12,0.021
cdu,2022-01,0.0174
cdu,2022-02,0.0719
cdu,2022-03,0.0436
cdu,2022-04,0.0248
cdu,2022-05,0.0455
cdu,2022-06,0.0455
cdu,2022-07,0.0258
cdu,2022-08,0.0238
cdu,2022-09,0.0319
cdu,2022-10,0.0317
cdu,2022-11,0.0269
cdu,2022-12,0.0177
cdu,2023-01,0.0195
cdu,2023-02,0.0278
cdu,2023-03,0.0312
cdu,2023-04,0.0238
cdu,2023-05,0.0168
cdu,2023-06,0.032
cdu,2023-07,0.0411
cdu,2023-08,0.0735
cdu,2023-09,0.0937
cdu,2023-10,0.1482
cdu,2023-11,0.1697
cdu,2023-12,0.178
cdu,2024-01,0.1416
cdu,2024-02,0.2005
cdu,2024-03,0.2463
cdu,2024-04,0.2923
cdu,2024-05,0.1986
cdu,2024-06,0.2855
cdu,2024-07,0.1784
cdu,2024-08,0.1491
cdu,2024-09,0.2096
cdu,2024-10,0.1548
cdu,2024-11,0.2066
cdu,2024-12,0.2612
csu,2014-02,0.0
csu,2014-03,0.0
csu,2014-04,0.0
csu,2014-05,0.0
csu,2014-06,0.0
csu,2014-07,0.0
csu,2014-08,0.0
csu,2014-09,0.0
csu,2014-10,0.0
csu,2014-11,0.1181
csu,2014-12,0.0854
csu,2015-01,0.0912
csu,2015-02,0.0977
csu,2015-03,0.0931
csu,2015-04,0.1068
csu,2015-05,0.1191
csu,2015-06,0.1645
csu,2015-07,0.1349
csu,2015-08,0.1398
csu,2015-09,0.0989
csu,2015-10,0.1728
csu,2015-11,0.1759
csu,2015-12,0.1088
csu,2016-01,0.195
csu,2016-02,0.1928
csu,2016-03,0.1735
csu,2016-04,0.1636
csu,2016-05,0.1043
csu,2016-06,0.1737
csu,2016-07,0.1506
csu,2016-08,0.0932
csu,2016-09,0.0757
csu,2016-10,0.1946
csu,2016-11,0.1192
csu,2016-12,0.1206
csu,2017-01,0.0952
csu,2017-02,0.0761
csu,2017-03,0.1372
csu,2017-04,0.1045
csu,2017-05,0.0241
csu,2017-06,0.0436
csu,2017-07,0.1217
csu,2017-08,0.0366
csu,2017-09,0.1237
csu,2017-10,0.0403
csu,2017-11,0.1035
csu,2017-12,0.1233
csu,2018-01,0.0662
csu,2018-02,0.036
csu,2018-03,0.124
csu,2018-04,0.118
csu,2018-05,0.0451
csu,2018-06,0.1466
csu,2018-07,0.4001
csu,2018-08,0.1633
csu,2018-09,0.0777
csu,2018-10,0.0965
csu,2018-11,0.3154
csu,2018-12,0.2092
csu,2019-01,0.1296
csu,2019-02,0.1443
csu,2019-03,0.1074
csu,2019-04,0.0923
csu,2019-05,0.1047
csu,2019-06,0.3335
csu,2019-07,0.2645
csu,2019-08,0.1525
csu,2019-09,0.3758
csu,2019-10,0.1928
csu,2019-11,0.2515
csu,2019-12,0.2213
csu,2020-01,0.1492
csu,2020-02,0.3476
csu,2020-03,0.3885
csu,2020-04,0.323
csu,2020-05,0.3418
csu,2020-06,0.381
csu,2020-07,0.2113
csu,2020-08,0.1122
csu,2020-09,0.1197
csu,2020-10,0.1751
csu,2020-11,0.1012
csu,2020-12,0.1542
csu,2021-01,0.1117
csu,2021-02,0.1141
csu,2021-03,0.1128
csu,2021-04,0.115
csu,2021-05,0.1351
csu,2021-06,0.1293
csu,2021-07,0.0739
csu,2021-08,0.0585
csu,2021-09,0.1341
csu,2021-10,0.0775
csu,2021-11,0.0612
csu,2021-12,0.0648
csu,2022-01,0.0702
csu,2022-02,0.0701
csu,2022-03,0.0569
csu,2022-04,0.1193
csu,2022-05,0.0748
csu,2022-06,0.0717
csu,2022-07,0.095
csu,2022-08,0.0691
csu,2022-09,0.0547
csu,2022-10,0.0956
csu,2022-11,0.0478
csu,2022-12,0.062
csu,2023-01,0.0597
csu,2023-02,0.0869
csu,2023-03,0.0845
csu,2023-04,0.0959
csu,2023-05,0.1561
csu,2023-06,0.1223
csu,2023-07,0.1424
csu,2023-08,0.1481
csu,2023-09,0.1929
csu,2023-10,0.0899
csu,2023-11,0.1106
csu,2023-12,0.0741
csu,2024-01,0.1158
csu,2024-02,0.1575
csu,2024-03,0.0947
csu,2024-04,0.1156
csu,2024-05,0.0809
csu,2024-06,0.1411
csu,2024-07,0.1575
csu,2024-08,0.0632
csu,2024-09,0.1349
csu,2024-10,0.146
csu,2024-11,0.123
csu,2024-12,0.1301
die_gruenen,2014-02,0.0
die_gruenen,2014-03,0.0
die_gruenen,2014-04,0.0
die_gruenen,2014-05,0.0
die_gruenen,2014-06,0.0
die_gruenen,2014-07,0.0
die_gruenen,2014-08,0.0
die_gruenen,2014-09,0.0
die_gruenen,2014-10,0.0
die_gruenen,2014-11,0.0
die_gruenen,2014-12,0.0
die_gruenen,2015-01,0.0
die_gruenen,2015-02,0.0
die_gruenen,2015-03,0.0
die_gruenen,2015-04,0.0
die_gruenen,2015-05,0.0
die_gruenen,2015-06,0.0
die_gruenen,2015-07,0.1643
die_gruenen,2015-08,0.1617
die_gruenen,2015-09,0.3884
die_gruenen,2015-10,0.0972
die_gruenen,2015-11,0.1513
die_gruenen,2015-12,0.1823
die_gruenen,2016-01,0.2584
die_gruenen,2016-02,0.3637
die_gruenen,2016-03,0.3292
die_gruenen,2016-04,0.2562
die_gruenen,2016-05,0.3638
die_gruenen,2016-06,0.3609
die_gruenen,2016-07,0.3366
die_gruenen,2016-08,0.4203
die_gruenen,2016-09,0.3588
die_gruenen,2016-10,0.4908
die_gruenen,2016-11,0.4353
die_gruenen,2016-12,0.3706
die_gruenen,2017-01,0.3536
die_gruenen,2017-02,0.2899
die_gruenen,2017-03,0.3359
die_gruenen,2017-04,0.2062
die_gruenen,2017-05,0.3092
die_gruenen,2017-06,0.1846
die_gruenen,2017-07,0.2597
die_gruenen,2017-08,0.1907
die_gruenen,2017-09,0.3702
die_gruenen,2017-10,0.4353
die_gruenen,2017-11,0.5533
die_gruenen,2017-12,0.4905
die_gruenen,2018-01,0.2294
die_gruenen,2018-02,0.3942
die_gruenen,2018-03,0.247
die_gruenen,2018-04,0.2174
die_gruenen,2018-05,0.2961
die_gruenen,2018-06,0.2428
die_gruenen,2018-07,0.2432
die_gruenen,2018-08,0.0328
die_gruenen,2018-09,0.2576
die_gruenen,2018-10,0.1998
die_gruenen,2018-11,0.2284
