Partei,Monat,Anzahl der Posts,Kumulative Anzahl
afd.bund,2014-02,0,0
afd.bund,2014-03,0,0
afd.bund,2014-04,0,0
afd.bund,2014-05,0,0
afd.bund,2014-06,0,0
afd.bund,2014-07,0,0
afd.bund,2014-08,0,0
afd.bund,2014-09,0,0
afd.bund,2014-10,0,0
afd.bund,2014-11,0,0
afd.bund,2014-12,0,0
afd.bund,2015-01,0,0
afd.bund,2015-02,0,0
afd.bund,2015-03,0,0
afd.bund,2015-04,0,0
afd.bund,2015-05,0,0
afd.bund,2015-06,0,0
afd.bund,2015-07,0,0
afd.bund,2015-08,0,0
afd.bund,2015-09,0,0
afd.bund,2015-10,0,0
afd.bund,2015-11,0,0
afd.bund,2015-12,0,0
afd.bund,2016-01,0,0
afd.bund,2016-02,0,0
afd.bund,2016-03,0,0
afd.bund,2016-04,0,0
afd.bund,2016-05,0,0
afd.bund,2016-06,0,0
afd.bund,2016-07,0,0
afd.bund,2016-08,0,0
afd.bund,2016-09,0,0
afd.bund,2016-10,0,0
afd.bund,2016-11,0,0
afd.bund,2016-12,0,0
afd.bund,2017-01,0,0
afd.bund,2017-02,0,0
afd.bund,2017-03,0,0
afd.bund,2017-04,0,0
afd.bund,2017-05,0,0
afd.bund,2017-06,0,0
afd.bund,2017-07,0,0
afd.bund,2017-08,0,0
afd.bund,2017-09,0,0
afd.bund,2017-10,0,0
afd.bund,2017-11,0,0
afd.bund,2017-12,0,0
afd.bund,2018-01,0,0
afd.bund,2018-02,0,0
afd.bund,2018-03,0,0
afd.bund,2018-04,0,0
afd.bund,2018-05,0,0
afd.bund,2018-06,0,0
afd.bund,2018-07,0,0
afd.bund,2018-08,0,0
afd.bund,2018-09,3,3
afd.bund,2018-10,0,0
afd.bund,2018-11,0,0
afd.bund,2018-12,0,0
afd.bund,2019-01,0,0
afd.bund,2019-02,0,0
afd.bund,2019-03,0,0
afd.bund,2019-04,0,0
afd.bund,2019-05,0,0
afd.bund,2019-06,0,0
afd.bund,2019-07,0,0
afd.bund,2019-08,0,0
afd.bund,2019-09,0,0
afd.bund,2019-10,0,0
afd.bund,2019-11,0,0
afd.bund,2019-12,0,0
afd.bund,2020-01,60,63
afd.bund,2020-02,44,107
afd.bund,2020-03,41,148
afd.bund,2020-04,35,183
afd.bund,2020-05,36,219
afd.bund,2020-06,21,240
afd.bund,2020-07,17,257
afd.bund,2020-08,13,270
afd.bund,2020-09,27,297
afd.bund,2020-10,23,320
afd.bund,2020-11,20,340
afd.bund,2020-12,21,361
afd.bund,2021-01,30,391
afd.bund,2021-02,29,420
afd.bund,2021-03,31,451
afd.bund,2021-04,29,480
afd.bund,2021-05,39,519
afd.bund,2021-06,52,571
afd.bund,2021-07,42,613
afd.bund,2021-08,95,708
afd.bund,2021-09,84,792
afd.bund,2021-10,26,818
afd.bund,2021-11,32,850
afd.bund,2021-12,26,876
afd.bund,2022-01,29,905
afd.bund,2022-02,20,925
afd.bund,2022-03,46,971
afd.bund,2022-04,30,1001
afd.bund,2022-05,41,1042
afd.bund,2022-06,33,1075
afd.bund,2022-07,22,1097
afd.bund,2022-08,33,1130
afd.bund,2022-09,40,1170
afd.bund,2022-10,43,1213
afd.bund,2022-11,25,1238
afd.bund,2022-12,32,1270
afd.bund,2023-01,27,1297
afd.bund,2023-02,26,1323
afd.bund,2023-03,20,1343
afd.bund,2023-04,28,1371
afd.bund,2023-05,27,1398
afd.bund,2023-06,41,1439
afd.bund,2023-07,42,1481
afd.bund,2023-08,39,1520
afd.bund,2023-09,22,1542
afd.bund,2023-10,21,1563
afd.bund,2023-11,40,1603
afd.bund,2023-12,20,1623
afd.bund,2024-01,32,1655
afd.bund,2024-02,28,1683
afd.bund,2024-03,47,1730
afd.bund,2024-04,29,1759
afd.bund,2024-05,56,1815
afd.bund,2024-06,43,1858
afd.bund,2024-07,36,1894
afd.bund,2024-08,39,1933
afd.bund,2024-09,23,1956
afd.bund,2024-10,44,2000
afd.bund,2024-11,31,2031
afd.bund,2024-12,24,2055
cdu,2014-02,0,0
cdu,2014-03,0,0
cdu,2014-04,0,0
cdu,2014-05,0,0
cdu,2014-06,0,0
cdu,2014-07,0,0
cdu,2014-08,0,0
cdu,2014-09,0,0
cdu,2014-10,0,0
cdu,2014-11,0,0
cdu,2014-12,0,0
cdu,2015-01,0,0
cdu,2015-02,0,0
cdu,2015-03,0,0
cdu,2015-04,0,0
cdu,2015-05,0,0
cdu,2015-06,16,16
cdu,2015-07,21,37
cdu,2015-08,0,0
cdu,2015-09,6,43
cdu,2015-10,2,45
cdu,2015-11,1,46
cdu,2015-12,7,53
cdu,2016-01,1,54
cdu,2016-02,3,57
cdu,2016-03,2,59
cdu,2016-04,2,61
cdu,2016-05,4,65
cdu,2016-06,5,70
cdu,2016-07,0,0
cdu,2016-08,1,71
cdu,2016-09,0,0
cdu,2016-10,0,0
cdu,2016-11,1,72
cdu,2016-12,2,74
cdu,2017-01,4,78
cdu,2017-02,6,84
cdu,2017-03,9,93
cdu,2017-04,5,98
cdu,2017-05,7,105
cdu,2017-06,9,114
cdu,2017-07,11,125
cdu,2017-08,13,138
cdu,2017-09,56,194
cdu,2017-10,14,208
cdu,2017-11,1,209
cdu,2017-12,2,211
cdu,2018-01,2,213
cdu,2018-02,6,219
cdu,2018-03,23,242
cdu,2018-04,8,250
cdu,2018-05,5,255
cdu,2018-06,2,257
cdu,2018-07,0,0
cdu,2018-08,1,258
cdu,2018-09,7,265
cdu,2018-10,31,296
cdu,2018-11,17,313
cdu,2018-12,29,342
cdu,2019-01,7,349
cdu,2019-02,21,370
cdu,2019-03,18,388
cdu,2019-04,65,453
cdu,2019-05,113,566
cdu,2019-06,33,599
cdu,2019-07,38,637
cdu,2019-08,39,676
cdu,2019-09,43,719
cdu,2019-10,46,765
cdu,2019-11,146,911
cdu,2019-12,18,929
cdu,2020-01,38,967
cdu,2020-02,28,995
cdu,2020-03,42,1037
cdu,2020-04,79,1116
cdu,2020-05,60,1176
cdu,2020-06,71,1247
cdu,2020-07,95,1342
cdu,2020-08,40,1382
cdu,2020-09,78,1460
cdu,2020-10,48,1508
cdu,2020-11,63,1571
cdu,2020-12,95,1666
cdu,2021-01,151,1817
cdu,2021-02,45,1862
cdu,2021-03,70,1932
cdu,2021-04,48,1980
cdu,2021-05,64,2044
cdu,2021-06,53,2097
cdu,2021-07,84,2181
cdu,2021-08,150,2331
cdu,2021-09,254,2585
cdu,2021-10,46,2631
cdu,2021-11,61,2692
cdu,2021-12,52,2744
cdu,2022-01,89,2833
cdu,2022-02,81,2914
cdu,2022-03,59,2973
cdu,2022-04,64,3037
cdu,2022-05,105,3142
cdu,2022-06,33,3175
cdu,2022-07,42,3217
cdu,2022-08,43,3260
cdu,2022-09,125,3385
cdu,2022-10,42,3427
cdu,2022-11,79,3506
cdu,2022-12,47,3553
cdu,2023-01,87,3640
cdu,2023-02,61,3701
cdu,2023-03,134,3835
cdu,2023-04,86,3921
cdu,2023-05,66,3987
cdu,2023-06,83,4070
cdu,2023-07,65,4135
cdu,2023-08,58,4193
cdu,2023-09,71,4264
cdu,2023-10,87,4351
cdu,2023-11,43,4394
cdu,2023-12,41,4435
cdu,2024-01,83,4518
cdu,2024-02,109,4627
cdu,2024-03,95,4722
cdu,2024-04,86,4808
cdu,2024-05,191,4999
cdu,2024-06,71,5070
cdu,2024-07,85,5155
cdu,2024-08,97,5252
cdu,2024-09,105,5357
cdu,2024-10,138,5495
cdu,2024-11,124,5619
cdu,2024-12,68,5687
csu,2014-02,0,0
csu,2014-03,0,0
csu,2014-04,0,0
csu,2014-05,0,0
csu,2014-06,0,0
csu,2014-07,0,0
csu,2014-08,0,0
csu,2014-09,0,0
csu,2014-10,0,0
csu,2014-11,10,10
csu,2014-12,72,82
csu,2015-01,56,138
csu,2015-02,42,180
csu,2015-03,38,218
csu,2015-04,34,252
csu,2015-05,33,285
csu,2015-06,30,315
csu,2015-07,33,348
csu,2015-08,17,365
csu,2015-09,24,389
csu,2015-10,29,418
csu,2015-11,17,435
csu,2015-12,18,453
csu,2016-01,18,471
csu,2016-02,19,490
csu,2016-03,17,507
csu,2016-04,23,530
csu,2016-05,24,554
csu,2016-06,23,577
csu,2016-07,24,601
csu,2016-08,11,612
csu,2016-09,12,624
csu,2016-10,14,638
csu,2016-11,30,668
csu,2016-12,19,687
csu,2017-01,14,701
csu,2017-02,23,724
csu,2017-03,31,755
csu,2017-04,19,774
csu,2017-05,44,818
csu,2017-06,20,838
csu,2017-07,31,869
csu,2017-08,46,915
csu,2017-09,68,983
csu,2017-10,13,996
csu,2017-11,6,1002
csu,2017-12,28,1030
csu,2018-01,14,1044
csu,2018-02,16,1060
csu,2018-03,15,1075
csu,2018-04,6,1081
csu,2018-05,22,1103
csu,2018-06,8,1111
csu,2018-07,6,1117
csu,2018-08,6,1123
csu,2018-09,39,1162
csu,2018-10,35,1197
csu,2018-11,16,1213
csu,2018-12,23,1236
csu,2019-01,53,1289
csu,2019-02,25,1314
csu,2019-03,35,1349
csu,2019-04,24,1373
csu,2019-05,89,1462
csu,2019-06,17,1479
csu,2019-07,14,1493
csu,2019-08,25,1518
csu,2019-09,44,1562
csu,2019-10,30,1592
csu,2019-11,15,1607
csu,2019-12,25,1632
csu,2020-01,47,1679
csu,2020-02,30,1709
csu,2020-03,67,1776
csu,2020-04,64,1840
csu,2020-05,77,1917
csu,2020-06,72,1989
csu,2020-07,52,2041
csu,2020-08,39,2080
csu,2020-09,63,2143
csu,2020-10,35,2178
csu,2020-11,30,2208
csu,2020-12,51,2259
csu,2021-01,43,2302
csu,2021-02,43,2345
csu,2021-03,49,2394
csu,2021-04,42,2436
csu,2021-05,77,2513
csu,2021-06,89,2602
csu,2021-07,169,2771
csu,2021-08,91,2862
csu,2021-09,250,3112
csu,2021-10,45,3157
csu,2021-11,61,3218
csu,2021-12,63,3281
csu,2022-01,59,3340
csu,2022-02,108,3448
csu,2022-03,100,3548
csu,2022-04,69,3617
csu,2022-05,66,3683
csu,2022-06,47,3730
csu,2022-07,111,3841
csu,2022-08,78,3919
csu,2022-09,97,4016
csu,2022-10,97,4113
csu,2022-11,76,4189
csu,2022-12,68,4257
csu,2023-01,88,4345
csu,2023-02,86,4431
csu,2023-03,78,4509
csu,2023-04,63,4572
csu,2023-05,92,4664
csu,2023-06,124,4788
csu,2023-07,167,4955
csu,2023-08,105,5060
csu,2023-09,108,5168
csu,2023-10,109,5277
csu,2023-11,98,5375
csu,2023-12,94,5469
csu,2024-01,132,5601
csu,2024-02,94,5695
csu,2024-03,104,5799
csu,2024-04,112,5911
csu,2024-05,161,6072
csu,2024-06,158,6230
csu,2024-07,95,6325
csu,2024-08,59,6384
csu,2024-09,80,6464
csu,2024-10,128,6592
csu,2024-11,86,6678
csu,2024-12,98,6776
die_gruenen,2014-02,0,0
die_gruenen,2014-03,0,0
die_gruenen,2014-04,0,0
die_gruenen,2014-05,0,0
die_gruenen,2014-06,0,0
die_gruenen,2014-07,0,0
die_gruenen,2014-08,0,0
die_gruenen,2014-09,0,0
die_gruenen,2014-10,0,0
die_gruenen,2014-11,0,0
die_gruenen,2014-12,0,0
die_gruenen,2015-01,0,0
die_gruenen,2015-02,0,0
die_gruenen,2015-03,0,0
die_gruenen,2015-04,0,0
die_gruenen,2015-05,0,0
die_gruenen,2015-06,0,0
die_gruenen,2015-07,5,5
die_gruenen,2015-08,16,21
die_gruenen,2015-09,13,34
die_gruenen,2015-10,6,40
die_gruenen,2015-11,18,58
die_gruenen,2015-12,8,66
die_gruenen,2016-01,1,67
die_gruenen,2016-02,9,76
die_gruenen,2016-03,13,89
die_gruenen,2016-04,7,96
die_gruenen,2016-05,14,110
die_gruenen,2016-06,16,126
die_gruenen,2016-07,11,137
die_gruenen,2016-08,6,143
die_gruenen,2016-09,16,159
die_gruenen,2016-10,13,172
die_gruenen,2016-11,11,183
die_gruenen,2016-12,12,195
die_gruenen,2017-01,23,218
die_gruenen,2017-02,16,234
die_gruenen,2017-03,20,254
die_gruenen,2017-04,9,263
die_gruenen,2017-05,18,281
die_gruenen,2017-06,46,327
die_gruenen,2017-07,23,350
die_gruenen,2017-08,12,362
die_gruenen,2017-09,25,387
die_gruenen,2017-10,16,403
die_gruenen,2017-11,34,437
die_gruenen,2017-12,7,444
die_gruenen,2018-01,11,455
die_gruenen,2018-02,2,457
die_gruenen,2018-03,2,459
die_gruenen,2018-04,7,466
die_gruenen,2018-05,11,477
die_gruenen,2018-06,6,483
die_gruenen,2018-07,6,489
die_gruenen,2018-08,5,494
die_gruenen,2018-09,2,496
die_gruenen,2018-10,8,504
die_gruenen,2018-11,8,512
die_gruenen,2018-12,5,517
die_gruenen,2019-01,11,528
die_gruenen,2019-02,0,0
die_gruenen,2019-03,9,537
die_gruenen,2019-04,10,547
die_gruenen,2019-05,28,575
die_gruenen,2019-06,2,577
